N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y,
02-2013-1439,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,290,,,,,,,2,2,HUTB-007087,15,2.162942642,41.38785952,
06-2013-0469,6,GRACIA,31,la Vila de Gràcia,Carrer,REIG I BONET,1,9,,,,,,,4,2,HUTB-007131,4,2.158689798,41.40550401,
06-2013-0288,6,GRACIA,31,la Vila de Gràcia,Carrer,GRAN DE GRACIA,2,16,,,,,,,3,3,HUTB-005955,4,2.156273415,41.39649466,
02-2013-0421,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,NAPOLS,1,229,,,,,,,PR,2,HUTB-005372,4,2.171522117,41.39852018,
02-2013-0749,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,442,,,,,,,EN,,HUTB-005833,2,2.174206598,41.39631869,
02-2013-1404,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,334,,,,,,,3,2,HUTB-006792,7,2.167313952,41.39454697,
02-2013-1408,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,334,,,,,,,4,3,HUTB-006791,2,2.167313952,41.39454697,
02-2013-1409,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,334,,,,,,,4,4,HUTB-006790,5,2.167313952,41.39454697,
02-2013-1410,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,334,,,,,,,5,2,HUTB-006789,4,2.167313952,41.39454697,
02-2013-1411,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,334,,,,,,,5,4,HUTB-006788,5,2.167313952,41.39454697,
03-2013-0445,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MURILLO,2,18,,,,,,,BJ,,HUTB-006787,9,2.160743906,41.37128013,
06-2013-0455,6,GRACIA,31,la Vila de Gràcia,Carrer,TORRENT DE L'OLLA,1,137,,,,,,,1,2,HUTB-006786,6,2.154488045,41.40162251,
10-2013-0558,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,CORSEGA,1,703,,,,,,,PR,3,HUTB-006785,5,2.179464094,41.41082735,
10-2013-0559,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,CORSEGA,1,703,,,,,,,1,1,HUTB-006784,4,2.179464094,41.41082735,
03-2013-0446,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,EN,1,HUTB-006782,4,2.169444057,41.37066659,
10-2013-0561,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,CORSEGA,1,703,,,,,,,3,2,HUTB-006781,4,2.179464094,41.41082735,
03-2013-0447,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,4,2,HUTB-006780,4,2.169444057,41.37066659,
02-2013-1504,2,L'EIXAMPLE,10,Sant Antoni,Carrer,SEPULVEDA,2,90,,,,,,,5,4,HUTB-007165,8,2.156025884,41.37717238,
01-2013-0160,1,CIUTAT VELLA,1,el Raval,Carrer,RAMBLA,1,15,,,,,,,2,2,HUTB-000941,6,2.174595689,41.3759906,
03-2013-0181,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CALLAO,2,8,,,,,,,AT,,HUTB-005565,3,2.142406411,41.37396079,
02-2013-1499,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,1,3,,,,,,,6,1,HUTB-007103,5,2.168168546,41.38636943,
02-2013-0605,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,SANT JOAN,2,86,,,,,,,2,2,HUTB-005663,7,2.170751513,41.39615893,
02-2013-0708,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,430,,,,,,,1,1,HUTB-007583,3,2.173772958,41.39599181,
02-2013-0709,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,430,,,,,,,5,1,HUTB-007584,3,2.173772958,41.39599181,
02-2013-0710,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,430,,,,,,,5,2,HUTB-007585,3,2.173772958,41.39599181,
02-2013-0711,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,430,,,,,,,5,3,HUTB-007586,3,2.173772958,41.39599181,
02-2013-0712,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,430,,,,,,,5,4,HUTB-007587,3,2.173772958,41.39599181,
10-2013-0293,10,SANT MARTI,66,el Parc i la Llacuna del Poblenou,Carrer,PUJADES,2,10,,,,,,,SA,1,HUTB-005731,3,2.186750996,41.39001447,
03-2013-0448,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,2,2,HUTB-006779,4,2.169444057,41.37066659,
06-2013-0475,6,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,2,126,,,,,,,5,,HUTB-007101,5,2.157261852,41.39600469,
06-2013-0476,6,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,2,126,,,,,,,6,,HUTB-007100,5,2.157261852,41.39600469,
01-2013-0148,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,EN,2,HUTB-000906,6,2.165185746,41.38028664,
01-2013-0149,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,2,1,HUTB-000899,7,2.165185746,41.38028664,
01-2013-0150,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,2,2,HUTB-000900,6,2.165185746,41.38028664,
01-2013-0151,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,3,1,HUTB-000901,7,2.165185746,41.38028664,
01-2013-0152,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,3,2,HUTB-000902,6,2.165185746,41.38028664,
03-2013-0133,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,4,2,HUTB-005488,4,2.123396851,41.37369118,
03-2013-0135,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,4,3,HUTB-005489,5,2.123396851,41.37369118,
03-2013-0137,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,4,4,HUTB-005459,5,2.123396851,41.37369118,
03-2013-0140,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,4,5,HUTB-005460,5,2.123396851,41.37369118,
03-2013-0141,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,5,4,HUTB-005461,5,2.123396851,41.37369118,
03-2013-0467,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,OLIVERA,1,29,,,,,,I,BJ,5,HUTB-007120,11,2.156355457,41.37175171,
02-2013-0466,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,MARINA,1,145,,147,,,,B,1,3,HUTB-005408,4,2.181729217,41.39572232,
03-2013-0218,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,SANT FRUCTUOS,1,37,,,,,,,BJ,1,HUTB-005654,4,2.145494874,41.36943736,
03-2013-0219,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,SANT FRUCTUOS,1,37,,,,,,,1,1,HUTB-005657,6,2.145494874,41.36943736,
03-2013-0220,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,SANT FRUCTUOS,1,37,,,,,,,2,1,HUTB-005639,7,2.145494874,41.36943736,
03-2013-0221,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,SANT FRUCTUOS,1,37,,,,,,,3,1,HUTB-005658,4,2.145494874,41.36943736,
03-2013-0222,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,SANT FRUCTUOS,1,37,,,,,,,4,1,HUTB-005640,4,2.145494874,41.36943736,
05-2013-0436,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,OLIANA,2,4,,,,,,,2,2,HUTB-007119,5,2.146193355,41.39640662,
05-2013-0437,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,ARIBAU,2,304,,,,,,,5,2,HUTB-007055,3,2.145205723,41.39700817,
02-2013-0612,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Ronda,UNIVERSITAT,2,16,,,,,,,2,4,HUTB-005614,7,2.166136291,41.38488585,
02-2013-0616,2,L'EIXAMPLE,10,Sant Antoni,Carrer,SEPULVEDA,1,169,,,,,,,2,2,HUTB-005616,8,2.161208038,41.38134831,
01-2013-0362,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,MONEC,1,25,,,,,,,4,1,HUTB-002368,3,2.176230344,41.38688225
02-2013-0866,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,NAPOLS,2,258,,260,,,,,EN,1,HUTB-005912,5,2.169579541,41.40027446,
10-2013-0599,10,SANT MARTI,67,la Vila Olímpica del Poblenou,Carrer,SALVADOR ESPRIU,1,33,,,,,,,2,1,HUTB-007152,7,2.196148921,41.38750301,
06-2013-0260,6,GRACIA,31,la Vila de Gràcia,Carrer,AULESTIA I PIJOAN,1,25,,,,,,,2,,HUTB-005831,11,2.14971946,41.40131103,
04-2013-0161,4,LES CORTS,19,les Corts,Carrer,VALLESPIR,1,163,,,,,,,BJ,1,HUTB-005905,7,2.1329911,41.38183163,
04-2013-0162,4,LES CORTS,19,les Corts,Carrer,VALLESPIR,1,163,,,,,,,BJ,2,HUTB-005906,6,2.1329911,41.38183163,
04-2013-0164,4,LES CORTS,19,les Corts,Carrer,EQUADOR,2,18,,,,,,,1,,HUTB-005907,10,2.139504634,41.38375336,
02-2013-1474,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ARAGO,1,281,,,,,,,6,1,HUTB-007050,15,2.164915109,41.39137612,
02-2013-1493,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,1,183,,,,,,,4,4,HUTB-007123,2,2.155374545,41.3892378,
06-2013-0492,6,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,2,6,,,,,,,1,2,HUTB-007111,6,2.159788996,41.39755446,
03-2013-0142,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,5,5,HUTB-005462,5,2.123396851,41.37369118,
03-2013-0143,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,5,6,HUTB-005463,4,2.123396851,41.37369118,
03-2013-0144,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,5,7,HUTB-005464,4,2.123396851,41.37369118,
02-2013-1530,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,VALENCIA,1,117,,,,,,,1,1,HUTB-007231,5,2.153486892,41.38442005,
02-2013-1562,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE D'URGELL,2,46,,,,,,,5,5,HUTB-007085,6,2.159193722,41.37919357,
07-2013-0213,7,HORTA-GUINARDÓ,33,el Baix Guinardó,Carrer,SARDENYA,2,528,,,,,,,1,1,HUTB-007379,7,2.161746591,41.41000576,
02-2013-1583,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CONSELL DE CENT,2,138,,,,,,,1,3,HUTB-007297,4,2.152433255,41.37994561,
06-2013-0519,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,BAILEN,2,218,,,,,,,4,2,HUTB-007272,8,2.162438664,41.40056221,
02-2013-0574,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MALLORCA,1,373,,,,,,,PR,2,HUTB-005601,6,2.171735256,41.39985417,
03-2013-0223,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,SANT FRUCTUOS,1,37,,,,,,,3,2,HUTB-005655,4,2.145494874,41.36943736,
02-2013-0647,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ENRIC GRANADOS,1,75,,,,,,,1,,HUTB-005665,11,2.156441771,41.38946312,
10-2013-0275,10,SANT MARTI,68,el Poblenou,Carrer,PALLARS,1,171,,,,,,,4,1,HUTB-005667,5,2.195121078,41.39827789,
10-2013-0276,10,SANT MARTI,68,el Poblenou,Carrer,PERE IV,2,124,,,,,,,1,2,HUTB-005669,4,2.194810249,41.39855273,
10-2013-0277,10,SANT MARTI,68,el Poblenou,Carrer,PERE IV,2,126,,,,,,,1,3,HUTB-005670,4,2.194857438,41.39861214,
10-2013-0278,10,SANT MARTI,68,el Poblenou,Carrer,PERE IV,2,126,,,,,,,4,1,HUTB-005671,4,2.194857438,41.39861214,
10-2013-0279,10,SANT MARTI,68,el Poblenou,Carrer,PERE IV,2,126,,,,,,,4,2,HUTB-005676,5,2.194857438,41.39861214,
01-2013-0363,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,1,1,HUTB-002305,3,2.176246601,41.38600836
01-2013-0364,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,1,2,HUTB-002306,2,2.176246601,41.38600836
01-2013-0365,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,2,1,HUTB-002307,2,2.176246601,41.38600836
01-2013-0366,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,2,2,HUTB-013142,3,2.176246601,41.38600836
01-2013-0367,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,3,1,HUTB-002309,2,2.176246601,41.38600836
01-2013-0368,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,4,2,HUTB-002310,3,2.176246601,41.38600836
02-2013-1449,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,1,651,,,,,,,1,1,HUTB-007092,30,2.171428475,41.39110452,
02-2013-1454,2,L'EIXAMPLE,6,la Sagrada Família,Passatge,SIMO,2,8,,,,,,,4,3,HUTB-007167,2,2.171988558,41.4023816,
10-2013-0601,10,SANT MARTI,68,el Poblenou,Carrer,BADAJOZ,1,63,,,,,,,1,3,HUTB-007075,4,2.195728709,41.39557806,
10-2013-0603,10,SANT MARTI,68,el Poblenou,Carrer,AMISTAT,2,22,,,,,,,2,6,HUTB-036815,4,2.204561902,41.39820735,
06-2013-0168,6,GRACIA,31,la Vila de Gràcia,Carrer,LLORER,1,5,,7,,,,,BJ,D,HUTB-007627,7,2.157368337,41.40750823,
02-2013-0700,2,L'EIXAMPLE,5,el Fort Pienc,Gran Via,CORTS CATALANES,2,720,,,,,,,PR,2,HUTB-005708,4,2.176568906,41.39430325,
07-2013-0136,7,HORTA-GUINARDÓ,35,el Guinardó,Carrer,VARSOVIA,1,113,B,,,,,,,,HUTB-005958,3,2.172100657,41.41722109,
05-2014-0074,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,2,122,,,,,,,1,3,HUTB-008573,3,2.145304579,41.39918674,
05-2014-0075,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,2,122,,,,,,,1,4,HUTB-008574,5,2.145304579,41.39918674,
02-2014-0327,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ARIBAU,2,84,,,,,,,PR,2,HUTB-008563,1,2.156882248,41.38770193,
02-2014-0517,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,1,51,,,,,,,2,2B,HUTB-009184,15,2.163076004,41.39048283,
10-2013-0185,10,SANT MARTI,68,el Poblenou,Carrer,VENERO,1,11,,,,,,,BJ,2,HUTB-005350,8,2.200608358,41.39962972,
06-2013-0174,6,GRACIA,31,la Vila de Gràcia,Carrer,PERILL,2,52,,,,,,I,1,1,HUTB-005465,4,2.16189485,41.39863593,
03-2013-0503,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,ELKANO,1,41,,,,,,,2,2,HUTB-007315,5,2.161199556,41.37155513,
01-2013-0615,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,2,2,,,,,,,5,,HUTB-013217,3,2.173204267,41.37850961,
01-2013-0616,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,2,2,,,,,,,4,1,HUTB-013218,3,2.173204267,41.37850961,
05-2013-0173,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Ronda,GENERAL MITRE,2,238,,,,,,,3,2,HUTB-005491,4,2.147624853,41.40395425,
01-2013-0229,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,1,2,HUTB-000688,5,2.172658891,41.37606486,
10-2013-0294,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,MALLORCA,1,521,,,,,,,5,1,HUTB-005729,4,2.180853687,41.40668143,
02-2013-0838,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,1,101,,,,,,,SA,1,HUTB-005870,4,2.158936071,41.39383135,
02-2013-0836,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,1,101,,,,,,,AT,3,HUTB-005869,5,2.158936071,41.39383135,
02-2013-1631,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ARAGO,1,39,,,,,,,PR,2,HUTB-007258,6,2.146855552,41.37772096,
02-2013-1647,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MALLORCA,1,423,,,,,,,1,4,HUTB-007329,7,2.175970822,41.40302287,
02-2013-1648,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ARIBAU,2,56,,,,,,,PR,1,HUTB-007263,16,2.158335523,41.38660364,
01-2013-0227,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,2,2,HUTB-000690,5,2.172658891,41.37606486,
03-2013-0110,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,1,1,HUTB-005410,5,2.123396851,41.37369118,
03-2013-0111,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,1,2,HUTB-005411,4,2.123396851,41.37369118,
03-2013-0112,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,2,1,HUTB-005412,4,2.123396851,41.37369118,
03-2013-0113,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,2,2,HUTB-005413,4,2.123396851,41.37369118,
03-2013-0115,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,2,3,HUTB-005414,5,2.123396851,41.37369118,
10-2013-0203,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,2,362,,,,,,,3,1,HUTB-005415,8,2.177583371,41.40999869,
10-2013-0204,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,2,362,,,,,,,5,1,HUTB-005416,8,2.177583371,41.40999869,
10-2013-0205,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,2,362,,,,,,,3,2,HUTB-005417,7,2.177583371,41.40999869,
03-2013-0187,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,103,B,,,,,,4,1,HUTB-005567,5,2.161672969,41.37295134,
02-2013-1564,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Ronda,UNIVERSITAT,1,17,,,,,,,1,3,HUTB-007389,11,2.165311095,41.38489791,
02-2013-1570,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,TRAFALGAR,1,33,,,,,,,1,2,HUTB-007387,6,2.175683718,41.38793316,
02-2013-1571,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,TRAFALGAR,1,33,,,,,,,2,2,HUTB-007388,6,2.175683718,41.38793316,
03-2014-0086,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,BLASCO DE GARAY,1,7,,,,,,,4,2,HUTB-008600,4,2.162181141,41.37267569,
03-2014-0087,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,BLASCO DE GARAY,1,7,,,,,,,3,2,HUTB-008597,4,2.162181141,41.37267569,
02-2013-0398,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Gran Via,CORTS CATALANES,1,407,,409,,,,,1,2,HUTB-005339,8,2.150707465,41.37552868,
03-2013-0128,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,3,5,HUTB-005466,5,2.123396851,41.37369118,
03-2013-0129,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,3,6,HUTB-005468,4,2.123396851,41.37369118,
03-2013-0130,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,3,7,HUTB-005467,4,2.123396851,41.37369118,
03-2013-0131,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,4,1,HUTB-005469,4,2.123396851,41.37369118,
03-2013-0132,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,4,6,HUTB-005470,4,2.123396851,41.37369118,
03-2013-0134,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,4,7,HUTB-005471,4,2.123396851,41.37369118,
02-2013-1540,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,ENAMORATS,2,76,,,,,,,BJ,2,HUTB-007096,6,2.180909831,41.40285606,
03-2014-0735,3,SANTS-MONTJUÏC,18,Sants,Carrer,DEMOSTENES,1,17,,,,,,,2,2,HUTB-012569,3,2.132429361,41.37436652,
01-2013-0153,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,4,1,HUTB-000903,7,2.165185746,41.38028664,
01-2013-0154,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,4,2,HUTB-000904,6,2.165185746,41.38028664,
02-2013-0406,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,620,,,,,,,4,1,HUTB-005349,11,2.165527345,41.38600733,
01-2013-0236,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,TROMPETES,2,4,,,,,,,2,,HUTB-001229,2,2.180871585,41.38080491
01-2013-0237,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,TROMPETES,2,4,,,,,,,3,,HUTB-001230,2,2.180871585,41.38080491
01-2013-0238,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,TROMPETES,2,4,,,,,,,4,,HUTB-001231,2,2.180871585,41.38080491
01-2013-0239,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,TROMPETES,2,4,,,,,,,5,,HUTB-001232,2,2.180871585,41.38080491
10-2013-0329,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,MALLORCA,2,526,,,,,,,3,2,HUTB-005814,4,2.180592228,41.40620599,
03-2013-0298,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,BEJAR,1,53,,,,,,,1,3,HUTB-005922,4,2.14396546,41.37550269,
02-2013-1707,2,L'EIXAMPLE,10,Sant Antoni,Carrer,CASANOVA,1,9,,,,,,,2,4,HUTB-007283,4,2.161598692,41.38045076,
05-2013-0165,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Ronda,GENERAL MITRE,2,238,,,,,,,1,3,HUTB-005455,4,2.147624853,41.40395425,
05-2013-0166,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Ronda,GENERAL MITRE,2,238,,,,,,,2,1,HUTB-005456,6,2.147624853,41.40395425,
01-2013-0228,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,2,1,HUTB-000689,5,2.172658891,41.37606486,
01-2013-0230,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,EN,2,HUTB-000693,3,2.172658891,41.37606486,
02-2013-0752,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,1,335,,,,,,,1,,HUTB-005840,13,2.163073943,41.38823552,
02-2013-0753,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,1,335,,,,,,,3,,HUTB-005841,12,2.163073943,41.38823552,
02-2013-0754,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,1,335,,,,,,,4,,HUTB-005838,12,2.163073943,41.38823552,
02-2013-0755,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,1,335,,,,,,,AT,,HUTB-005839,12,2.163073943,41.38823552,
03-2013-0255,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Gran Via,CORTS CATALANES,2,278,,,,,,,3,4,HUTB-005802,5,2.143681376,41.36958265,
01-2013-0306,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,3,2,HUTB-002178,2,2.180600113,41.38224117
02-2013-1595,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,DIPUTACIO,1,79,,,,,,,1,4,HUTB-007312,9,2.153623237,41.37941361,
02-2013-1625,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ARAGO,1,207,,,,,,,PR,4,HUTB-007253,3,2.158678044,41.38668535,
10-2013-0635,10,SANT MARTI,73,la Verneda i la Pau,Carrer,ANDRADE,1,249,,251,,,,,5,3,HUTB-007247,5,2.205129688,41.4180866,
03-2013-0136,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,5,1,HUTB-005472,4,2.123396851,41.37369118,
03-2013-0138,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,5,2,HUTB-005473,4,2.123396851,41.37369118,
03-2013-0139,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,5,3,HUTB-005474,5,2.123396851,41.37369118,
10-2013-0614,10,SANT MARTI,66,el Parc i la Llacuna del Poblenou,Carrer,PUJADES,1,11,,,,,,,3,2,HUTB-007128,7,2.187047082,41.39071604,
10-2013-0616,10,SANT MARTI,68,el Poblenou,Carrer,SANCHO DE AVILA,1,167,,171,,,,8,4,4,HUTB-007157,6,2.195395853,41.40187746,
02-2013-0720,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,1,21,,23,,,,,4,3,HUTB-005747,8,2.173152067,41.40382961,
02-2013-0790,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,2,104,,,,,,I,AT,2,HUTB-005815,5,2.156818089,41.37436833,
06-2013-0531,6,GRACIA,31,la Vila de Gràcia,Carrer,CORSEGA,1,335,,,,,,,3,2,HUTB-007299,3,2.159520848,41.39579487,
