Column,host_id,host_name_x,num_host_listings,id,license,host_url,listing_url,host_about,host_name_y,latitude,longitude,minimum_nights,availability_365,last_review,neighbourhood,N_EXPEDIENT,CODI_DISTRICTE,neighbourhood_group,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
10,4459553.0,AB Apartment Barcelona,165,40573372.0,HUTB-002329,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/40573372,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.406009999999995,2.15414,3.0,314.0,2022-10-20,Gràcia,06-2012-0280,6,GRACIA,31.0,la Vila de Gràcia,Carrer,SANT SALVADOR,2,20,,,,,,,BJ,2,9.0,2.152357339,41.40509017
11,4459553.0,AB Apartment Barcelona,165,21720369.0,HUTB-001872,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/21720369,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40347,2.16953,3.0,353.0,2022-10-20,Gràcia,06-2012-0446,6,GRACIA,32.0,el Camp d'en Grassot i Gràcia Nova,Carrer,SICILIA,2,352,,,,,,,3,2,5.0,2.169268756,41.40221335
12,4459553.0,AB Apartment Barcelona,165,49704089.0,HUTB-012890,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/49704089,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.37891,2.15599,3.0,348.0,2022-10-22,Eixample,02-2014-2449,2,L'EIXAMPLE,10.0,Sant Antoni,Carrer,CALABRIA,1,65,,,,,,,PR,4,4.0,2.156016043,41.37613254
13,4459553.0,AB Apartment Barcelona,165,18424082.0,HUTB-011537,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/18424082,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.3997,2.18034,2.0,355.0,2022-10-23,Eixample,02-2014-1389,2,L'EIXAMPLE,5.0,el Fort Pienc,Carrer,MARINA,1,189,,,,,,,1,2,5.0,2.178344628,41.39830251
14,4459553.0,AB Apartment Barcelona,165,19866423.0,HUTB-002904,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/19866423,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.41874,2.15617,3.0,355.0,2022-10-23,Horta-Guinardó,07-2012-0138,7,HORTA-GUINARDÓ,37.0,el Carmel,Carrer,CALDERON DE LA BARCA,2,112,,114.0,,,,,5,2,4.0,2.1559338219999997,41.41787073
15,4459553.0,AB Apartment Barcelona,165,43675000.0,HUTB-008150,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/43675000,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.4084,2.1772,1.0,339.0,2022-10-23,Eixample,02-2013-2427,2,L'EIXAMPLE,6.0,la Sagrada Família,Carrer,ROSSELLO,2,448,,,,,,,BJ,,9.0,2.1750158059999998,41.40545565
16,4459553.0,AB Apartment Barcelona,165,41783019.0,HUTB-008529,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/41783019,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40638,2.1749099999999997,3.0,347.0,2022-10-24,Eixample,02-2014-0070,2,L'EIXAMPLE,6.0,la Sagrada Família,Carrer,ROSSELLO,1,483,,,,,,,PR,1,4.0,2.174736223,41.40552655
17,4459553.0,AB Apartment Barcelona,165,51314368.0,HUTB-011746,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/51314368,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.401959999999995,2.1800900000000003,3.0,215.0,2022-10-25,Eixample,02-2014-1404,2,L'EIXAMPLE,5.0,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,5,1,9.0,2.17815442,41.39919629
18,4459553.0,AB Apartment Barcelona,165,50562185.0,HUTB-011743,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/50562185,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.40231,2.17884,3.0,245.0,2022-10-26,Eixample,02-2014-1399,2,L'EIXAMPLE,5.0,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,2,2,10.0,2.17815442,41.39919629
19,4459553.0,AB Apartment Barcelona,165,18439708.0,HUTB-011541,https://www.airbnb.com/users/show/4459553,https://www.airbnb.com/rooms/18439708,"Hi everyone! We are AB Apartment Barcelona, a local agency that offers accommodation options for those that want to visit our wonderful city. Let us tell you a bit more about us :)

We have been managing apartments since 2007 when David and Dani, founders and twin brothers, decided to rent their holiday apartment, personally welcoming every guest and sharing with them their recommendations and advice about Barcelona.  

Today, we have many more apartments to rent in the city, whilst maintaining the essence of our beginnings. Our team is formed by local people and others from all round the world, that will help you with any doubts you may have, either before, during, or after your stay. 

Barcelona is our home, so we will be able to advise you on the best places to visit, from sights and attractions, to local bars and restaurants. You can also consult more expert advice on our Blog, awarded as one of the best tourism blogs in Barcelona.

By renting your apartment in Barcelona through us, you’ll be in safe hands :) We are looking forward to meeting you soon!

DURING YOUR STAY

We will be happy to help you with everything you need to make your stay an unforgettable experience! In addition, you will have access to our customer area, from which you can check-in online, report any problem if necessary, as well as book apartment services, activities, transfers and access local guides about Barcelona. We also have an office open 365 days a year and we have 24-hour telephone assistance for any emergency.",AB Apartment Barcelona,41.39895,2.18012,2.0,348.0,2022-10-27,Eixample,02-2014-1444,2,L'EIXAMPLE,5.0,el Fort Pienc,Carrer,MARINA,1,189,,,,,,,2,2,5.0,2.178344628,41.39830251
